Relations;Année;Temps estimé en minutes
PARIS - MONTPELLIER;2010;198.0
PARIS - MONTPELLIER;1941;
PARIS - MONTPELLIER;1934;
PARIS - NARBONNE;1944;
PARIS - MONTPELLIER;1968;438.0
PARIS - MONTPELLIER;1967;444.0
PARIS - MONTPELLIER;1973;415.0
PARIS - MONTPELLIER;2015;199.0
PARIS - NARBONNE;1981;454.0
PARIS - NARBONNE;1985;456.0
PARIS - NARBONNE;1932;
PARIS - NARBONNE;1941;
PARIS - MONTPELLIER;1928;
PARIS - NARBONNE;1931;
PARIS - NARBONNE;1940;
PARIS - NARBONNE;1945;
PARIS - NARBONNE;1997;328.0
PARIS - NARBONNE;1999;332.0
PARIS - MONTPELLIER;2000;259.0
PARIS - MONTPELLIER;2017;199.0
PARIS - NARBONNE;2012;257.0
PARIS - NARBONNE;1939;
PARIS - NARBONNE;2013;257.0
PARIS - MONTPELLIER;1936;
PARIS - MONTPELLIER;1951;
PARIS - MONTPELLIER;1966;446.0
PARIS - MONTPELLIER;1954;515.0
PARIS - NARBONNE;2010;257.0
PARIS - NARBONNE;1968;498.0
PARIS - NARBONNE;1990;349.0
PARIS - NARBONNE;2019;250.0
PARIS - NARBONNE;1998;329.0
PARIS - MONTPELLIER;2007;198.0
PARIS - NARBONNE;2018;255.0
PARIS - MONTPELLIER;1931;
PARIS - MONTPELLIER;1959;
PARIS - NARBONNE;1978;452.0
PARIS - NARBONNE;1979;455.0
PARIS - NARBONNE;1994;309.0
PARIS - NARBONNE;2000;330.0
PARIS - NARBONNE;1971;467.0
PARIS - NARBONNE;1937;
PARIS - MONTPELLIER;2011;199.0
PARIS - MONTPELLIER;2012;199.0
PARIS - NARBONNE;2017;257.0
PARIS - MONTPELLIER;1992;279.0
PARIS - MONTPELLIER;2001;197.0
PARIS - NARBONNE;2011;257.0
PARIS - NARBONNE;1969;466.0
PARIS - NARBONNE;1974;449.0
PARIS - NARBONNE;2005;265.0
PARIS - MONTPELLIER;1958;508.0
PARIS - NARBONNE;1920;
